YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,0.842293906810036,-0.148809523809524,4.22939068100358,9.50925925925926,13.2437275985663,19.5925925925926,21.7562724014337,20.7795698924731,16.712962962963,13.5573476702509,6.36111111111111,1.76523297491039
1991,-3.04659498207885,0.188492063492064,3.44086021505376,10.7962962962963,18.0555555555556,20.8333333333333,22.5806451612903,22.0609318996416,15.9074074074074,11.5681003584229,4.87962962962963,-0.044802867383513
1992,-2.62544802867384,-1.98275862068966,-0.062724014336918,7.09259259259259,14.3817204301075,18.4259259259259,20.2060931899642,19.4354838709677,16.4351851851852,9.19354838709677,3.33333333333333,-1.14695340501792
1993,-2.19534050179211,-5.95238095238095,-0.32258064516129,8.67592592592593,15.9498207885305,19.5277777777778,23.1989247311828,21.9086021505376,15.962962962963,9.88351254480287,4.87962962962963,-2.06989247311828
1994,-8.82616487455197,-5.37698412698413,1.01254480286738,10.0185185185185,14.1039426523297,20.8611111111111,23.0555555555556,19.5967741935484,16.2685185185185,11.2365591397849,7.62962962962963,1.27240143369176
1995,-0.743727598566308,-4.35515873015873,4.11290322580645,7.09259259259259,14.094982078853,20.6388888888889,22.6612903225806,22.3028673835125,16.037037037037,13.7634408602151,2.23148148148148,-4.07706093189964
1996,-5.01792114695341,-3.11302681992337,0.062724014336918,8.17592592592593,13.5573476702509,19.7314814814815,20.5017921146953,21.0752688172043,17,10.7437275985663,2.2962962962963,0.698924731182796
1997,-4.31003584229391,0.267857142857143,1.65770609318996,8.22222222222222,12.6971326164875,20.1296296296296,21.8817204301075,20.663082437276,16.8611111111111,10.9318996415771,2.93518518518519,-0.152329749103943
1998,-0.331541218637993,0.863095238095238,3.84408602150538,10.4259259259259,17.1326164874552,18.4814814814815,21.7562724014337,22.7150537634409,18.9537037037037,11.7652329749104,5.37037037037037,2.67921146953405
1999,-3.66487455197133,-0.496031746031746,2.22222222222222,9.48148148148148,15.9229390681004,21.787037037037,24.9910394265233,21.6845878136201,18.9259259259259,10.8602150537634,7.74074074074074,0.46594982078853
2000,-4.06810035842294,-1.01532567049808,5.60035842293907,8.63888888888889,15.6093189964158,19.7222222222222,20.4301075268817,20.3942652329749,16.9907407407407,12.1057347670251,4.03703703703704,-4.18458781362007
2001,-2.88530465949821,-1.73611111111111,-0.206093189964158,9.89814814814815,16.0483870967742,21.4259259259259,21.5143369175627,23.9336917562724,18.1018518518519,13.0286738351254,8.46296296296296,2.58960573476703
2002,0.797491039426523,1.56746031746032,3.79032258064516,10.5740740740741,13.6559139784946,20.5648148148148,24.4354838709677,23.5304659498208,19.2314814814815,9.19354838709677,4.10185185185185,-1.50537634408602
2003,-6.81899641577061,-4.51388888888889,3.05555555555556,7.74074074074074,13.8351254480287,19.4074074074074,22.7867383512545,22.8584229390681,17.3333333333333,10.4749103942652,6.81481481481481,-0.268817204301075
2004,-7.64814814814815,-2.18390804597701,3.80824372759857,9.68518518518519,17.3476702508961,19.5740740740741,21.7025089605735,20.8781362007168,18.2592592592593,10.6182795698925,5.72222222222222,-0.994623655913978
2005,-5.39426523297491,-1.09126984126984,0.224014336917563,10.8981481481481,12.7598566308244,22.6296296296296,23.6827956989247,23.673835125448,20.4166666666667,11.3888888888889,7.08333333333333,-2.40143369175627
2006,1.17383512544803,-1.30952380952381,2.92114695340502,10.9166666666667,15.089605734767,19.5925925925926,24.1487455197133,21.9623655913979,16.1574074074074,10.5017921146953,7.74074074074074,3.53046594982079
2007,-0.591397849462366,-5.8531746031746,1.98924731182796,7.68518518518519,16.7562724014337,21.1574074074074,22.0519713261649,21.9713261648746,18.9259259259259,15.0358422939068,3.87037037037037,-1.59498207885305
2008,-1.4247311827957,-2.28927203065134,1.84587813620072,11.7407407407407,13.9336917562724,21.5740740740741,23.3512544802867,20.3673835125448,17.8611111111111,10.2598566308244,1.19281045751634,-1.0663082437276
2009,-6.415770609319,-1.10119047619048,3.42293906810036,10.8796296296296,15.1792114695341,18.6018518518519,20.5286738351254,21.9982078853047,16.2592592592593,9.72222222222222,7.59259259259259,-1.89964157706093
2010,-3.36917562724014,-2.23214285714286,5.93189964157706,12.9722222222222,16.5491452991453,21.3518518518519,24.820788530466,22.0071684587814,18.2407407407407,11.6397849462366,5.21296296296296,-3.12724014336918
2011,-4.84767025089606,-2.23214285714286,2.44623655913978,9.55555555555556,16.2903225806452,20.4074074074074,24.4444444444444,21.4874551971326,18.1018518518519,11.2724014336918,8.36111111111111,2.31182795698925
2012,-1.13799283154122,1.65708812260536,8.85304659498208,10.0862068965517,17.5089605734767,19.8981481481481,23.9605734767025,22.3566308243728,17.1018518518519,11.9086021505376,3.74074074074074,1.01254480286738
2013,-1.95340501792115,-2.49007936507937,1.02150537634409,8.98148148148148,16.0752688172043,20.3611111111111,23.1720430107527,20.8781362007168,16.8333333333333,12.6792114695341,3.68518518518519,-1.10215053763441
2014,-5.80645161290323,-4.23611111111111,-0.788530465949821,9.34259259259259,15.7168458781362,20.4722222222222,21.6666666666667,20.7795698924731,18.037037037037,12.5448028673835,3.86111111111111,0.861111111111111
2015,-5.62724014336918,-8.60119047619048,-0.349462365591398,9.26851851851852,18.8351254480287,17.9166666666667,22.4193548387097,22.3118279569892,20.0925925925926,10.7616487455197,8.0462962962963,5.64516129032258
