YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,-3.48566308243728,-4.97126436781609,0.716845878136201,9.05555555555556,16.0483870967742,17.9814814814815,22.1863799283154,22.168458781362,17.8888888888889,9.48028673835126,2.71296296296296,-3.96953405017921
1981,-8.05555555555556,1.01190476190476,1.89068100358423,10.0925925925926,15.5376344086022,19.3148148148148,21.9982078853047,21.1290322580645,15.787037037037,8.83512544802867,4.62962962962963,-2.4910394265233
1982,-8.915770609319,-3.13492063492063,1.0573476702509,7.17592592592593,15.3136200716846,16.8240740740741,22.1774193548387,19.0591397849462,16.7407407407407,11.3888888888889,6.42592592592593,1.72043010752688
1983,-3.52150537634409,-1.9047619047619,2.21326164874552,7.67592592592593,12.5448028673835,20.1666666666667,22.7598566308244,21.7831541218638,19.0185185185185,10.6362007168459,5.30555555555556,-3.61111111111111
1984,-5.83333333333333,0.651340996168582,-1.94444444444444,7.73148148148148,13.4229390681004,20.6203703703704,21.1917562724014,21.7562724014337,15.8796296296296,13.2347670250896,4.90740740740741,1.67562724014337
1985,-6.13799283154122,-1.95436507936508,3.77240143369176,10.1574074074074,16.2544802867384,17.2222222222222,21.2365591397849,20.3853046594982,18.0740740740741,11.5232974910394,5.33333333333333,-3.81720430107527
1986,-3.23476702508961,-4.70238095238095,3.01971326164875,9.92592592592593,16.6666666666667,18.4444444444444,21.3082437275986,19.7132616487455,16.212962962963,11.4068100358423,3.12037037037037,-0.663082437275986
1987,-4.2741935483871,-3.90873015873016,3.73655913978495,9.4537037037037,15.2508960573477,20.4074074074074,22.8673835125448,20.8691756272401,16.287037037037,9.56093189964158,5.75925925925926,0.224014336917563
1988,-4.41756272401434,-2.76819923371648,2.72401433691756,8.12037037037037,15.2508960573477,20.4259259259259,24.0860215053763,22.6881720430108,16.5648148148148,8.28853046594982,5.62962962962963,-1.63082437275986
1989,-1.11111111111111,-3.22420634920635,2.20430107526882,7.91666666666667,15.6093189964158,19.8148148148148,22.0071684587814,20.8512544802867,16.8796296296296,11.7293906810036,4.06481481481481,-8.85304659498208
